LSOA21CD,schools,parks,playgrounds,pitches,score,score_norm
E01006771,2.0,1.0,1.0,3.0,4.0,1.0
E01006772,2.0,1.0,0.0,6.0,3.0,0.75
E01006773,1.0,2.0,0.0,0.0,2.0,0.5
E01006774,1.0,4.0,0.0,3.0,3.0,0.75
E01006775,2.0,0.0,0.0,2.0,2.0,0.5
E01006776,1.0,2.0,1.0,3.0,4.0,1.0
E01006778,1.0,2.0,1.0,4.0,4.0,1.0
E01006779,2.0,3.0,1.0,4.0,4.0,1.0
E01006780,1.0,2.0,0.0,1.0,3.0,0.75
E01006781,0.0,1.0,0.0,0.0,1.0,0.25
E01006782,2.0,4.0,0.0,1.0,3.0,0.75
E01006783,3.0,3.0,0.0,1.0,3.0,0.75
E01006784,1.0,2.0,0.0,1.0,3.0,0.75
E01006785,2.0,1.0,1.0,2.0,4.0,1.0
E01006786,2.0,2.0,0.0,1.0,3.0,0.75
E01006787,2.0,2.0,1.0,1.0,4.0,1.0
E01006788,0.0,3.0,1.0,1.0,3.0,0.75
E01006790,4.0,3.0,1.0,1.0,4.0,1.0
E01006791,3.0,5.0,0.0,2.0,3.0,0.75
E01006792,1.0,2.0,1.0,1.0,4.0,1.0
E01006793,1.0,0.0,0.0,1.0,2.0,0.5
E01006794,1.0,0.0,0.0,0.0,1.0,0.25
E01006795,3.0,3.0,1.0,2.0,4.0,1.0
E01006796,3.0,1.0,1.0,1.0,4.0,1.0
E01006797,2.0,0.0,0.0,2.0,2.0,0.5
E01006798,3.0,1.0,0.0,3.0,3.0,0.75
E01006799,1.0,3.0,2.0,1.0,4.0,1.0
E01006800,2.0,1.0,0.0,0.0,2.0,0.5
E01006801,2.0,0.0,0.0,0.0,1.0,0.25
E01032505,4.0,3.0,6.0,3.0,4.0,1.0
E01032506,5.0,3.0,2.0,7.0,4.0,1.0
E01032507,6.0,2.0,1.0,5.0,4.0,1.0
E01032508,5.0,1.0,1.0,3.0,4.0,1.0
E01032509,2.0,1.0,0.0,4.0,3.0,0.75
E01032510,2.0,0.0,0.0,3.0,2.0,0.5
E01032511,0.0,3.0,0.0,1.0,2.0,0.5
E01033747,2.0,4.0,1.0,6.0,4.0,1.0
E01033748,2.0,2.0,5.0,0.0,3.0,0.75
E01033750,0.0,1.0,0.0,1.0,2.0,0.5
E01033751,1.0,0.0,1.0,0.0,2.0,0.5
E01033756,1.0,1.0,0.0,2.0,3.0,0.75
E01033757,2.0,8.0,0.0,7.0,3.0,0.75
E01033758,0.0,4.0,0.0,3.0,2.0,0.5
E01033760,2.0,3.0,0.0,2.0,3.0,0.75
E01033761,2.0,4.0,0.0,2.0,3.0,0.75
E01033762,1.0,1.0,1.0,0.0,3.0,0.75
E01033763,3.0,2.0,2.0,16.0,4.0,1.0
E01033765,0.0,3.0,0.0,1.0,2.0,0.5
E01033767,3.0,3.0,5.0,1.0,4.0,1.0
E01033768,3.0,5.0,1.0,3.0,4.0,1.0
E01034396,5.0,1.0,3.0,1.0,4.0,1.0
E01034397,4.0,1.0,5.0,0.0,3.0,0.75
E01034398,2.0,4.0,0.0,6.0,3.0,0.75
E01034399,2.0,3.0,0.0,8.0,3.0,0.75
E01034400,3.0,3.0,1.0,3.0,4.0,1.0
E01034401,3.0,2.0,0.0,2.0,3.0,0.75
E01034402,2.0,1.0,0.0,3.0,3.0,0.75
E01034403,2.0,3.0,0.0,1.0,3.0,0.75
E01034404,5.0,2.0,1.0,11.0,4.0,1.0
E01034405,2.0,8.0,0.0,6.0,3.0,0.75
E01034406,3.0,4.0,0.0,2.0,3.0,0.75
E01034407,1.0,2.0,0.0,2.0,3.0,0.75
E01034408,1.0,2.0,0.0,2.0,3.0,0.75
E01034409,1.0,0.0,1.0,0.0,2.0,0.5
E01034410,0.0,1.0,0.0,0.0,1.0,0.25
E01034411,0.0,2.0,0.0,0.0,1.0,0.25
